,0,1,2
1590," Chypre, Palestine sud,","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1591," TransJordanie,","Font: 'Times-Roman' (serifed, proportional), size 8.97693, color #000000",page 541 of document.pdf
1592," Syrie,","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1593,"Iraq, Iran, Géorgie.","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1594,"SCLERANTHUS L. — Herbes de petite taille, à feuilles linéaires-sétacées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 541 of document.pdf
1595,"Calice à tube urcéolé, à la fin durci. 5 sépales mutiques. Pétales filiformes, parfois","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 541 of document.pdf
1596,"avortés. Étamines 5. Ovaire libre. Styles 2, distincts.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 541 of document.pdf
1597,"Calice de très petite taille, 2 mm. seulement à sépales courts et un peu marginés","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1598,S.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1599, collinus,"Font: 'Times-Italic' (italic, serifed, proportional), size 9, color #000000",page 541 of document.pdf
1600, Hornung,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1601,"Calice de 4 mm. ou davantage à sépales verts, égalant ou dépassant la longueur du tube","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1602,Sépales tous droits,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1603, ,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1604,S.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1605, annuus,"Font: 'Times-Italic' (italic, serifed, proportional), size 9, color #000000",page 541 of document.pdf
1606, L.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1607,Sépales tous fortement courbés et uncinés,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
1608, ,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 541 of document.pdf
